subject,session_i,session_j,pv_corr,ens_corr,day_distance,circadian_distance,circadian_distance_reported
UT14,Day3,Day4,0.5853541744114127,0.7550159962789109,1.0,5.466666666666667,8.016666666666666
UT14,Day3,Day5,0.5293056683572707,0.32466390534590917,2.0,1.2666666666666675,2.616666666666667
UT14,Day3,Day6,0.6437129459586632,0.7597388547398025,3.0,0.34999999999999964,5.216666666666667
UT14,Day3,Day7,0.573663280312457,0.776939094587642,4.0,0.6833333333333336,0.5500000000000007
UT14,Day3,Day8,0.42016206692408825,0.881232823907454,5.0,0.049999999999998934,7.816666666666666
UT14,Day3,Day9,0.33824705080290635,0.8309405890854077,6.0,0.36666666666666714,7.683333333333334
UT14,Day3,Day10,0.6029357452438763,0.8306253551062794,8.0,0.09999999999999964,1.8833333333333329
UT14,Day3,Day11,0.39364926582060833,0.8256601357685871,9.0,0.2666666666666675,5.6
UT14,Day3,Day12,0.5904545297015764,0.7917718772365013,10.0,0.2833333333333332,7.216666666666667
UT14,Day3,Day13,0.7622333962616628,0.7768195926895783,11.0,0.9166666666666661,3.8166666666666664
UT14,Day3,Day14,0.585088914624345,0.7420175112971379,12.0,0.09999999999999964,4.0166666666666675
UT14,Day3,Day15,0.5252816546808355,0.7762120045656395,13.0,0.5666666666666664,2.1000000000000014
UT14,Day3,Day16,0.5178124231062584,0.7408157889020232,14.0,0.40000000000000036,1.75
UT14,Day3,Day17,0.25589812485506624,0.6959700915814029,15.0,0.5,1.75
UT14,Day3,Day18,0.31482425897580235,0.6723833221606901,16.0,0.033333333333333215,5.033333333333333
UT14,Day3,Day19,0.3192529185261792,0.7604595322044843,17.0,0.40000000000000036,5.966666666666667
UT14,Day3,Day21,0.5593874270719735,0.7798228014619993,19.0,1.0333333333333332,6.85
UT14,Day3,Day22,0.6061723351088228,0.8259628288984988,20.0,0.5,7.2666666666666675
UT14,Day4,Day5,0.611353705620062,0.26023001367644644,1.0,4.199999999999999,10.633333333333333
UT14,Day4,Day6,0.5090882508673006,0.8654167718478036,2.0,5.116666666666667,10.766666666666667
UT14,Day4,Day7,0.4025279126484445,0.7366786606122255,3.0,6.15,7.466666666666665
UT14,Day4,Day8,0.07947525587625506,0.7455306552131267,4.0,5.416666666666668,8.166666666666668
UT14,Day4,Day9,0.17576521457699668,0.7874947580699566,5.0,5.1,8.3
UT14,Day4,Day10,0.6234050523059019,0.7580417783241212,7.0,5.366666666666667,6.133333333333333
UT14,Day4,Day11,0.18111950624360273,0.8220214748044207,8.0,5.733333333333334,10.383333333333335
UT14,Day4,Day12,0.39876111189595403,0.8260221484116894,9.0,5.75,8.766666666666667
UT14,Day4,Day13,0.5710923284299777,0.8297885793594781,10.0,4.550000000000001,4.199999999999999
UT14,Day4,Day14,0.6436746913780914,0.85640882834675,11.0,5.366666666666667,11.966666666666667
UT14,Day4,Day15,0.7047522094323484,0.8313930677351093,12.0,4.9,10.116666666666667
UT14,Day4,Day16,0.5357690032417493,0.814153543432779,13.0,5.866666666666667,6.266666666666666
UT14,Day4,Day17,0.2881855968065777,0.8366663389979441,14.0,4.966666666666667,9.766666666666666
UT14,Day4,Day18,0.5534768040440168,0.8049802868533382,15.0,5.5,10.950000000000001
UT14,Day4,Day19,0.479997931080629,0.8660929842458497,16.0,5.066666666666666,10.016666666666667
UT14,Day4,Day21,0.5996228467649664,0.8093032407828783,18.0,4.433333333333334,9.133333333333335
UT14,Day4,Day22,0.6248246025961576,0.8264906891681175,19.0,4.966666666666667,8.716666666666667
UT14,Day5,Day6,0.7040862068223754,0.2524559063764887,1.0,0.9166666666666679,2.5999999999999996
UT14,Day5,Day7,0.5433129285092188,0.33775659076210535,2.0,1.950000000000001,3.166666666666668
UT14,Day5,Day8,0.39737198678005575,0.2949439872580142,3.0,1.2166666666666686,5.199999999999999
UT14,Day5,Day9,0.33444978900289013,0.37914284386074365,4.0,0.9000000000000004,5.066666666666666
UT14,Day5,Day10,0.7190771447196789,0.228612667790197,6.0,1.1666666666666679,4.5
UT14,Day5,Day11,0.38249006903197735,0.26416836250291664,7.0,1.533333333333335,2.9833333333333325
UT14,Day5,Day12,0.6732852246714904,0.24329852805201604,8.0,1.5500000000000007,4.6
UT14,Day5,Day13,0.669102945209514,0.26305190135358125,9.0,0.3500000000000014,6.433333333333334
UT14,Day5,Day14,0.6964990871335013,0.2157098160603738,10.0,1.1666666666666679,1.4000000000000004
UT14,Day5,Day15,0.5467711272984236,0.2971117929885162,11.0,0.7000000000000011,0.5166666666666657
UT14,Day5,Day16,0.5973552628378432,0.33565471558213955,12.0,1.6666666666666679,4.366666666666667
UT14,Day5,Day17,0.17552191589652355,0.27857444105838663,13.0,0.7666666666666675,0.8666666666666671
UT14,Day5,Day18,0.33005987857436986,0.3127544047844858,14.0,1.3000000000000007,2.416666666666666
UT14,Day5,Day19,0.3345857385720048,0.3073050884479598,15.0,0.8666666666666671,3.3499999999999996
UT14,Day5,Day21,0.5122187273360688,0.16028948456304865,17.0,0.23333333333333428,4.2333333333333325
UT14,Day5,Day22,0.45177285070398315,0.32177551287421924,18.0,0.7666666666666675,4.65
UT14,Day6,Day7,0.8155528612754918,0.85144336261661,1.0,1.0333333333333332,5.7666666666666675
UT14,Day6,Day8,0.392296124460968,0.8280290609478701,2.0,0.3000000000000007,2.5999999999999996
UT14,Day6,Day9,0.3794945058384211,0.8666413749624112,3.0,0.016666666666667496,2.466666666666667
UT14,Day6,Day10,0.820872286025662,0.8696533191957132,5.0,0.25,7.1
UT14,Day6,Day11,0.7511154496682682,0.8312480107507603,6.0,0.6166666666666671,0.38333333333333286
UT14,Day6,Day12,0.678689312513715,0.879005376187925,7.0,0.6333333333333329,2.0
UT14,Day6,Day13,0.7355612834217254,0.8653333541936924,8.0,0.5666666666666664,9.033333333333333
UT14,Day6,Day14,0.6186397180450933,0.8563373358221308,9.0,0.25,1.1999999999999993
UT14,Day6,Day15,0.5801339711300226,0.908473422772301,10.0,0.21666666666666679,3.1166666666666654
UT14,Day6,Day16,0.5420199337324552,0.818162658688937,11.0,0.75,6.966666666666667
UT14,Day6,Day17,0.10485639086349116,0.8272861846995795,12.0,0.15000000000000036,3.466666666666667
UT14,Day6,Day18,0.41296027917611283,0.8234570109346321,13.0,0.38333333333333286,0.18333333333333357
UT14,Day6,Day19,0.3612567926349922,0.8859552546540437,14.0,0.05000000000000071,0.75
UT14,Day6,Day21,0.6140301280180658,0.867557426757132,16.0,0.6833333333333336,1.6333333333333329
UT14,Day6,Day22,0.6872447994097675,0.8425880421653043,17.0,0.15000000000000036,2.0500000000000007
UT14,Day7,Day8,0.5988342714686311,0.8793799419540268,1.0,0.7333333333333325,8.366666666666667
UT14,Day7,Day9,0.4397884378532311,0.8808645041177624,2.0,1.0500000000000007,8.233333333333334
UT14,Day7,Day10,0.8301090929303918,0.8776137823690573,4.0,0.7833333333333332,1.3333333333333321
UT14,Day7,Day11,0.7201761052964663,0.8325578122468711,5.0,0.4166666666666661,6.15
UT14,Day7,Day12,0.6966415342119531,0.8459283912149952,6.0,0.40000000000000036,7.7666666666666675
UT14,Day7,Day13,0.6785485388402444,0.8213173764360148,7.0,1.5999999999999996,3.2666666666666657
UT14,Day7,Day14,0.644717743240247,0.7684778433853513,8.0,0.7833333333333332,4.566666666666668
UT14,Day7,Day15,0.5977930863728539,0.8441327500007472,9.0,1.25,2.650000000000002
UT14,Day7,Day16,0.5652878695515295,0.8026507723130638,10.0,0.2833333333333332,1.1999999999999993
UT14,Day7,Day17,0.29438040077968697,0.8271529864138775,11.0,1.1833333333333336,2.3000000000000007
UT14,Day7,Day18,0.4712704935072334,0.7952952789909868,12.0,0.6500000000000004,5.583333333333334
UT14,Day7,Day19,0.5278512505671766,0.8537907473098756,13.0,1.083333333333334,6.5166666666666675
UT14,Day7,Day21,0.635573180613408,0.8349955225111121,15.0,1.7166666666666668,7.4
UT14,Day7,Day22,0.7931793032811937,0.8371337176409176,16.0,1.1833333333333336,7.816666666666668
UT14,Day8,Day9,0.5164830839464551,0.9223104030963617,1.0,0.3166666666666682,0.13333333333333286
UT14,Day8,Day10,0.5857454279218659,0.9169721715841241,3.0,0.05000000000000071,9.7
UT14,Day8,Day11,0.47618140446858914,0.9058979837874205,4.0,0.31666666666666643,2.216666666666667
UT14,Day8,Day12,0.6720073648894034,0.8647419810746203,5.0,0.33333333333333215,0.5999999999999996
UT14,Day8,Day13,0.7094544455686714,0.8187466348648023,6.0,0.8666666666666671,11.633333333333333
UT14,Day8,Day14,0.3934312947498288,0.7947728557573744,7.0,0.05000000000000071,3.799999999999999
UT14,Day8,Day15,0.2791986342252333,0.8069233160193663,8.0,0.5166666666666675,5.716666666666665
UT14,Day8,Day16,0.3789280994442361,0.7598073219880951,9.0,0.4499999999999993,9.566666666666666
UT14,Day8,Day17,0.4975067760160167,0.7460585938307434,10.0,0.45000000000000107,6.066666666666666
UT14,Day8,Day18,0.23698815503131476,0.7206249855789209,11.0,0.08333333333333215,2.783333333333333
UT14,Day8,Day19,0.2978293382116321,0.790478382256079,12.0,0.3500000000000014,1.8499999999999996
UT14,Day8,Day21,0.5152469063955487,0.8337621450580963,14.0,0.9833333333333343,0.9666666666666668
UT14,Day8,Day22,0.40135538988421465,0.8515888243606513,15.0,0.45000000000000107,0.5499999999999989
UT14,Day9,Day10,0.48772401860137643,0.8802112840629831,2.0,0.2666666666666675,9.566666666666666
UT14,Day9,Day11,0.37119779490348404,0.8713087478814632,3.0,0.6333333333333346,2.083333333333334
UT14,Day9,Day12,0.6510084542043109,0.858121596280988,4.0,0.6500000000000004,0.4666666666666668
UT14,Day9,Day13,0.4913459643604889,0.8007004977504873,5.0,0.5499999999999989,11.5
UT14,Day9,Day14,0.3377837652692977,0.7857153649356462,6.0,0.2666666666666675,3.666666666666666
UT14,Day9,Day15,0.4136492748875121,0.8385902161165563,7.0,0.1999999999999993,5.583333333333332
UT14,Day9,Day16,0.24116557538823244,0.831700996387685,8.0,0.7666666666666675,9.433333333333334
UT14,Day9,Day17,0.20252849047157784,0.7839772863605046,9.0,0.13333333333333286,5.933333333333334
UT14,Day9,Day18,0.18418810371680513,0.7996093460068069,10.0,0.40000000000000036,2.6500000000000004
UT14,Day9,Day19,0.21229162049781566,0.8697734486081322,11.0,0.033333333333333215,1.7166666666666668
UT14,Day9,Day21,0.5066438041246899,0.800815879533048,13.0,0.6666666666666661,0.8333333333333339
UT14,Day9,Day22,0.3581295141165375,0.8380930152147013,14.0,0.13333333333333286,0.4166666666666661
UT14,Day10,Day11,0.7773541737695745,0.913249485655463,1.0,0.36666666666666714,7.4833333333333325
UT14,Day10,Day12,0.8592886109616393,0.8960953697134156,2.0,0.38333333333333286,9.1
UT14,Day10,Day13,0.8557212282095739,0.8950000286243405,3.0,0.8166666666666664,1.9333333333333336
UT14,Day10,Day14,0.7292654248776445,0.8591220882413337,4.0,0.0,5.9
UT14,Day10,Day15,0.7791599038220117,0.9009387681091783,5.0,0.4666666666666668,3.9833333333333343
UT14,Day10,Day16,0.7513481454645532,0.7962671165958808,6.0,0.5,0.13333333333333286
