subject,session_id,true_start,true_hour,reported_session_start_time,reported_gap_minutes,n_units,n_tetrodes,session_duration_min,status
UT14,Day22,2024-02-22T15:39:42.135627-06:00,15.65,2024-02-22T10:51:33-06:00,-358.28437300125756,136.0,25.0,70.13211255073547,included
UT15,Day2,2024-03-23T15:42:15.133332-05:00,15.7,2024-03-23T10:47:15-05:00,-357.5447094321251,122.0,23.0,62.54248723189036,included
UT15,Day3,2024-03-24T16:09:54.505738-05:00,16.15,2024-03-24T12:11:00-05:00,-362.90140854914983,83.0,22.0,123.99297958215078,included
UT15,Day4,2024-03-25T16:31:45.107915-05:00,16.516666666666666,2024-03-25T14:42:39-05:00,-214.54327153364818,81.0,25.0,105.44147295157114,included
UT15,Day5,2024-03-26T10:19:56.310594-05:00,10.316666666666666,2024-03-26T12:05:41-05:00,12.075366266568501,91.0,25.0,93.66945716540019,included
UT15,Day6,2024-03-26T18:33:21.017717-05:00,18.55,2024-03-26T17:16:06-05:00,-196.36831803321837,83.0,21.0,119.11802275180817,included
UT15,Day7,2024-03-27T13:29:24.650316-05:00,13.483333333333333,2024-03-27T18:27:00-05:00,157.80985891819,90.0,22.0,139.77930248181025,included
UT15,Day8,2024-03-27T18:55:16.138506-05:00,18.916666666666668,2024-03-27T20:51:19-05:00,30.79807494878769,111.0,23.0,85.24961661895117,included
UT15,Day9,2024-03-28T09:31:01.643786-05:00,9.516666666666667,2024-03-28T10:12:41-05:00,-64.74199876785278,99.0,22.0,106.39793566862743,included
UT15,Day10,2024-03-28T16:27:44.997286-05:00,16.45,2024-03-28T16:19:28-05:00,-94.58611168464024,89.0,21.0,86.30282358328502,included
UT15,Day11,2024-03-29T15:39:33.738591-05:00,15.65,2024-03-29T18:52:35-05:00,82.88070743481317,96.0,20.0,110.14031604925792,included
UT15,Day12,2024-03-29T19:53:12.096377-05:00,19.883333333333333,2024-03-29T22:56:31-05:00,56.21921273469925,108.0,22.0,127.09584765036901,included
UT15,Day13,2024-03-30T14:20:11.874721-05:00,14.333333333333334,2024-03-30T19:18:53-05:00,139.7495655496915,111.0,21.0,158.93585576613745,included
UT15,Day14,2024-03-30T20:27:06.287089-05:00,20.45,2024-03-30T22:01:31-05:00,-10.231566600004832,82.0,18.0,104.64344844818115,included
UT15,Day15,2024-03-31T13:43:34.654054-05:00,13.716666666666667,2024-03-31T18:29:29-05:00,150.53688910007477,122.0,20.0,135.36887666781743,included
UT15,Day16,2024-03-31T20:50:11.850580-05:00,20.833333333333332,2024-03-31T21:02:10-05:00,-132.79775998195012,112.0,17.0,144.76691698233287,included
UT06,sub-UT06_ses-Day10_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3782544.8) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day11_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3867819.3) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day12_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3956425.9) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day15_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4216449.0) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day16_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4304537.3) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day17_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4391280.4) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day18_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4475852.3) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day19_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4569745.9) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day1_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3000860.5) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day20_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4649352.6) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day21_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4733921.4) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day22_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=4822420.9) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day23_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=5253303.1) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day24_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=5343378.1) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day26_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=5508516.6) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day27_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=5596584.4) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day2_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3083245.2) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
UT06,sub-UT06_ses-Day3_behavior+ecephys.nwb,,,,,,,,SKIPPED: ValueError: position timestamps are not absolute Unix epoch (first=3173144.9) -- this session uses a lab-internal relative clock; true recording time is UNVERIFIABLE from file contents alone and this session is excluded rather than risk a silently wrong date
