subject,session_i,session_j,pv_corr,ens_corr,day_distance,circadian_distance,circadian_distance_reported
UT14,Day3,Day4,0.6604978738957196,0.5082500437477998,1.0,5.466666666666667,8.016666666666666
UT14,Day3,Day5,0.5165186254404818,0.5490816950502597,2.0,1.2666666666666675,2.616666666666667
UT14,Day3,Day6,0.515930329757772,0.2920176279372476,3.0,0.34999999999999964,5.216666666666667
UT14,Day3,Day7,0.4626985662410275,0.21530655530198167,4.0,0.6833333333333336,0.5500000000000007
UT14,Day3,Day8,0.3744393674627397,0.36417755744165803,5.0,0.049999999999998934,7.816666666666666
UT14,Day3,Day9,0.23580122814881999,0.41954536283911686,6.0,0.36666666666666714,7.683333333333334
UT14,Day3,Day10,0.5657023286323017,0.2571989013793196,8.0,0.09999999999999964,1.8833333333333329
UT14,Day3,Day11,0.33540877270749875,0.738299143996035,9.0,0.2666666666666675,5.6
UT14,Day3,Day12,0.5054479780067038,0.4975662827151466,10.0,0.2833333333333332,7.216666666666667
UT14,Day3,Day13,0.7712294900622136,0.6086125841012906,11.0,0.9166666666666661,3.8166666666666664
UT14,Day3,Day14,0.5034697702452297,0.5866856428763043,12.0,0.09999999999999964,4.0166666666666675
UT14,Day3,Day15,0.5478592253524611,0.6671209387915437,13.0,0.5666666666666664,2.1000000000000014
UT14,Day3,Day16,0.5643067640431737,0.04420898876422664,14.0,0.40000000000000036,1.75
UT14,Day3,Day17,0.280610145010954,0.4119508116619111,15.0,0.5,1.75
UT14,Day3,Day18,0.3291459256450141,0.5982104893630463,16.0,0.033333333333333215,5.033333333333333
UT14,Day3,Day19,0.3837977891657152,0.4130278086358282,17.0,0.40000000000000036,5.966666666666667
UT14,Day3,Day21,0.5273649025781828,-0.29533881274920815,19.0,1.0333333333333332,6.85
UT14,Day3,Day22,0.49561223456156095,0.2178084955085944,20.0,0.5,7.2666666666666675
UT14,Day4,Day5,0.6621371538408861,0.35618459446739303,1.0,4.199999999999999,10.633333333333333
UT14,Day4,Day6,0.588331284599007,0.5775307780470914,2.0,5.116666666666667,10.766666666666667
UT14,Day4,Day7,0.4564687320411854,0.2144260748368825,3.0,6.15,7.466666666666665
UT14,Day4,Day8,0.11778118677014277,0.4429193536758724,4.0,5.416666666666668,8.166666666666668
UT14,Day4,Day9,0.189481581603483,0.37399803498710177,5.0,5.1,8.3
UT14,Day4,Day10,0.6964469868471078,0.06898464525361614,7.0,5.366666666666667,6.133333333333333
UT14,Day4,Day11,0.21578915723787478,0.4185271513891071,8.0,5.733333333333334,10.383333333333335
UT14,Day4,Day12,0.4507594149683732,0.3409222125856239,9.0,5.75,8.766666666666667
UT14,Day4,Day13,0.6842453362538059,0.30514854001418584,10.0,4.550000000000001,4.199999999999999
UT14,Day4,Day14,0.5984048844881391,0.22850004740891547,11.0,5.366666666666667,11.966666666666667
UT14,Day4,Day15,0.7726636689273257,0.3827317040657774,12.0,4.9,10.116666666666667
UT14,Day4,Day16,0.6684245907302264,-0.061386432444439774,13.0,5.866666666666667,6.266666666666666
UT14,Day4,Day17,0.3473502651246034,0.4451179866378807,14.0,4.966666666666667,9.766666666666666
UT14,Day4,Day18,0.7143115107480547,0.12106320129164627,15.0,5.5,10.950000000000001
UT14,Day4,Day19,0.6403950131445387,0.04332548888451294,16.0,5.066666666666666,10.016666666666667
UT14,Day4,Day21,0.7042911396712541,-0.06508805257353645,18.0,4.433333333333334,9.133333333333335
UT14,Day4,Day22,0.6983997526365463,0.5195396193402132,19.0,4.966666666666667,8.716666666666667
UT14,Day5,Day6,0.6784948265795755,0.24245361386346462,1.0,0.9166666666666679,2.5999999999999996
UT14,Day5,Day7,0.5203172014493228,0.3052205985120859,2.0,1.950000000000001,3.166666666666668
UT14,Day5,Day8,0.40956777591166976,0.0713147049575289,3.0,1.2166666666666686,5.199999999999999
UT14,Day5,Day9,0.2951345658362859,0.3040966175148615,4.0,0.9000000000000004,5.066666666666666
UT14,Day5,Day10,0.7008376289226972,-0.04435010971867961,6.0,1.1666666666666679,4.5
UT14,Day5,Day11,0.34000808818191164,0.6169768137892035,7.0,1.533333333333335,2.9833333333333325
UT14,Day5,Day12,0.6338724543697076,0.37159411552926946,8.0,1.5500000000000007,4.6
UT14,Day5,Day13,0.6858132766144911,0.27994120699809727,9.0,0.3500000000000014,6.433333333333334
UT14,Day5,Day14,0.6234050137627023,0.13034391884024615,10.0,1.1666666666666679,1.4000000000000004
UT14,Day5,Day15,0.5560293293911257,0.34794463258237346,11.0,0.7000000000000011,0.5166666666666657
UT14,Day5,Day16,0.6557669956534754,0.005074976154034012,12.0,1.6666666666666679,4.366666666666667
UT14,Day5,Day17,0.1772708621977334,0.28724230818253155,13.0,0.7666666666666675,0.8666666666666671
UT14,Day5,Day18,0.3739573793755016,0.4263850566605985,14.0,1.3000000000000007,2.416666666666666
UT14,Day5,Day19,0.40213187520277843,0.08225056683598188,15.0,0.8666666666666671,3.3499999999999996
UT14,Day5,Day21,0.5305639683640033,-0.2922502389898463,17.0,0.23333333333333428,4.2333333333333325
UT14,Day5,Day22,0.49997320049774013,0.2207218555956798,18.0,0.7666666666666675,4.65
UT14,Day6,Day7,0.8052269662112388,0.007959019454301304,1.0,1.0333333333333332,5.7666666666666675
UT14,Day6,Day8,0.3427789613061872,0.3590992147718488,2.0,0.3000000000000007,2.5999999999999996
UT14,Day6,Day9,0.3047504350103725,0.38057382089162484,3.0,0.016666666666667496,2.466666666666667
UT14,Day6,Day10,0.7933247211765695,-0.270283150632736,5.0,0.25,7.1
UT14,Day6,Day11,0.7061698965542896,0.49990566706809003,6.0,0.6166666666666671,0.38333333333333286
UT14,Day6,Day12,0.6047860313069523,0.2695297276054641,7.0,0.6333333333333329,2.0
UT14,Day6,Day13,0.6778916358094665,0.5857182933587683,8.0,0.5666666666666664,9.033333333333333
UT14,Day6,Day14,0.4882352292336609,-0.029363564025194598,9.0,0.25,1.1999999999999993
UT14,Day6,Day15,0.6088727455587088,0.15196863274396538,10.0,0.21666666666666679,3.1166666666666654
UT14,Day6,Day16,0.5986344173830161,0.20773477297877715,11.0,0.75,6.966666666666667
UT14,Day6,Day17,0.14763248285037148,0.6995859759969648,12.0,0.15000000000000036,3.466666666666667
UT14,Day6,Day18,0.5376669034822363,0.31997896381707713,13.0,0.38333333333333286,0.18333333333333357
UT14,Day6,Day19,0.5030870052448028,-0.053816285223366116,14.0,0.05000000000000071,0.75
UT14,Day6,Day21,0.5830473902543643,-0.5298362242481646,16.0,0.6833333333333336,1.6333333333333329
UT14,Day6,Day22,0.6778153653780846,0.15298754932446731,17.0,0.15000000000000036,2.0500000000000007
UT14,Day7,Day8,0.5507937531274899,0.5469796828079201,1.0,0.7333333333333325,8.366666666666667
UT14,Day7,Day9,0.27948180090695696,0.1858775281598032,2.0,1.0500000000000007,8.233333333333334
UT14,Day7,Day10,0.807129408574379,0.4024671659026284,4.0,0.7833333333333332,1.3333333333333321
UT14,Day7,Day11,0.685297766166472,-0.0914573075085145,5.0,0.4166666666666661,6.15
UT14,Day7,Day12,0.6588705057243915,-0.1943842728081977,6.0,0.40000000000000036,7.7666666666666675
UT14,Day7,Day13,0.6253041135059452,-0.33234059088676043,7.0,1.5999999999999996,3.2666666666666657
UT14,Day7,Day14,0.5547821451144965,0.0018601596673824819,8.0,0.7833333333333332,4.566666666666668
