subject,label,n_define_sessions,n_test_sessions,n_reward_bins,n_choice_bins,n_corridor_bins,obs_reward_diff,p_reward,obs_choice_diff,p_choice
UT14,define=even_test=odd,10,9,40,21,441,0.0028031363880163676,0.001996007984031936,-0.0019499208111438664,0.20359281437125748
UT14,define=odd_test=even,9,10,40,21,450,0.0008402510477005416,0.3073852295409182,-0.011401668383058854,0.0998003992015968
UT13,define=even_test=odd,8,7,41,38,399,0.0003831042024265022,0.5229540918163673,-0.0019764027375170907,0.003992015968063872
UT13,define=odd_test=even,7,8,41,19,409,-0.0007632766616581426,0.10179640718562874,0.007798902505568595,0.1157684630738523
UT15,define=even_test=odd,8,7,38,36,407,-0.01103624313358241,0.001996007984031936,0.00390870474303176,0.1277445109780439
UT15,define=odd_test=even,7,8,38,35,417,-0.01681068783183535,0.001996007984031936,0.0006226371441277363,0.8423153692614771
